Dimension     Tiempo MergeSort     Tiempo QuickSort
  10           0.0240134           0.0453842
  20           0.0458786           0.041375
  30           0.0703332           0.0981454
  40           0.108674           0.109084
  50           0.12616           0.124007
  60           0.150792           0.150084
  70           0.186337           0.276047
  80           0.225142           0.207747
  90           0.267162           0.331773
  100           0.317264           0.401964
  200           0.936398           0.879727
  300           2.14303           2.0396
  400           2.91764           3.43505
  500           2.66981           2.41822
  600           3.28007           3.35407
  700           4.0382           2.99674
  800           2.31417           2.64852
  900           2.50989           3.428
  1000           3.04945           3.2975
