Dimension     Tiempo MergeSort     Tiempo QuickSort
  10           0.04974           0.0337808
  20           0.043531           0.0412214
  30           0.0655418           0.0632424
  40           0.097982           0.096437
  50           0.117883           0.106565
  60           0.167131           0.134155
  70           0.16621           0.161035
  80           0.264228           0.192434
  90           0.224255           0.212203
  100           0.241469           0.321673
  200           0.589386           0.580783
  300           1.27031           1.43729
  400           1.22891           1.23867
  500           2.63161           2.86803
  600           3.31532           3.51716
  700           2.648           3.396
  800           3.09891           2.71551
  900           2.83693           3.34335
  1000           2.74511           3.64667
