Dimension     Tiempo MergeSort     Tiempo QuickSort
  10           0.023328           0.0178306
  100           0.253871           0.206673
  500           1.13407           1.10508
  1000           2.54909           3.51903
  5000           10.8879           18.1247
  10000           21.4572           52.6366
  20000           45.5314           151.52
  30000           66.7306           291.289
  40000           92.0087           480.71
  60000           137.572           986.946
